107.182.17.243:7808	HTTPS	letuhide
199.200.120.140:7808	HTTPS	letuhide
69.7.113.5:3128	HTTPS	letuhide
199.200.120.37:7808	HTTPS	letuhide
199.200.120.140:3127	HTTPS	letuhide
68.13.246.129:9064	HTTPS	letuhide
104.36.42.13:9064	HTTPS	letuhide
24.176.93.66:80	HTTPS	letuhide
104.140.67.36:7808	HTTPS	letuhide
69.197.148.18:7808	HTTPS	letuhide
67.207.166.174:7808	HTTPS	letuhide
108.165.33.11:3128	HTTPS	letuhide
199.200.120.140:8089	HTTPS	letuhide
74.50.126.249:7808	HTTPS	letuhide
74.50.126.248:3127	HTTPS	letuhide
23.242.102.67:9064	HTTPS	letuhide
108.165.33.4:3128	HTTPS	letuhide
74.50.126.248:7808	HTTPS	letuhide
172.248.67.87:21320	HTTPS	letushide
162.213.152.149:3128	HTTP	letushide
38.106.138.222:8080	HTTP	letushide
199.200.120.140:8089	HTTP	letushide
209.170.151.142:7808	HTTP	letushide
54.173.220.33:3128	HTTP	letushide
192.208.179.118:3128	HTTP	letushide
69.197.148.18:7808	HTTP	letushide
198.71.51.227:80	HTTP	letushide
107.182.17.243:7808	HTTP	letushide
72.204.51.239:8118	HTTP	letushide
192.3.171.92:80	HTTP	letushide
199.200.120.140:3127	HTTP	letushide
199.200.120.140:7808	HTTP	letushide
208.69.232.156:8080	HTTP	letushide
54.66.245.170:3128	HTTP	letushide
64.26.152.44:80	HTTP	letushide
